Month,Value
01-12-1992,-5.16
01-01-1993,23.70666667
01-02-1993,9.506666667
01-03-1993,31.67333333
01-04-1993,54.59
01-05-1993,72.90666667
01-06-1993,41.50666667
01-07-1993,14.64
01-08-1993,-52.485
01-09-1993,-49.36
01-10-1993,-52.96
01-11-1993,-39.02666667
01-12-1993,-34.56
01-01-1994,6.94
01-02-1994,5.14
01-03-1994,18.24
01-04-1994,48.50666667
01-05-1994,69.67333333
01-06-1994,45.84
01-07-1994,-12.99333333
01-08-1994,-42.79333333
01-09-1994,-45.69333333
01-10-1994,-46.885
01-11-1994,-29.26
01-12-1994,-18.86
01-01-1995,-11.06
01-02-1995,5.94
01-03-1995,26.74
01-04-1995,63.97333333
01-05-1995,58.79
01-06-1995,44.00666667
01-07-1995,-5.11
01-08-1995,-15.46
01-09-1995,-34.79333333
01-10-1995,-41.81
01-11-1995,-45.02666667
01-12-1995,-5.96
01-01-1996,-2.06
01-02-1996,14.19
01-03-1996,44.30666667
01-04-1996,50.94
01-05-1996,76.50666667
01-06-1996,45.34
01-07-1996,-9.16
01-08-1996,-43.46
01-09-1996,-64.32666667
01-10-1996,-68.91
01-11-1996,-62.02666667
01-12-1996,-39.52666667
01-01-1997,-28.82666667
01-02-1997,-37.46
01-03-1997,-5.293333333
01-04-1997,38.30666667
01-05-1997,55.89
01-06-1997,75.54
01-07-1997,31.94
01-08-1997,-12.61
01-09-1997,-19.72666667
01-10-1997,-7.66
01-11-1997,7.44
01-12-1997,0.94
01-01-1998,2.39
01-02-1998,1.806666667
01-03-1998,36.54
01-04-1998,70.00666667
01-05-1998,88.04
01-06-1998,37.84
01-07-1998,25.34
01-08-1998,-11.89333333
01-09-1998,-23.22666667
01-10-1998,-51.06
01-11-1998,-61.86
01-12-1998,-36.12666667
01-01-1999,-27.31
01-02-1999,-15.32666667
01-03-1999,4.673333333
01-04-1999,7.34
01-05-1999,38.34
01-06-1999,-4.06
01-07-1999,-17.76
01-08-1999,-42.99333333
01-09-1999,-78.26
01-10-1999,-78.32666667
01-11-1999,-71.96
01-12-1999,-41.06
01-01-2000,-20.76
01-02-2000,-16.56
01-03-2000,-9.66
01-04-2000,20.44
01-05-2000,26.84
01-06-2000,3.706666667
01-07-2000,-30.76
01-08-2000,-36.06
01-09-2000,-66.46
01-10-2000,-50.66
01-11-2000,-43.76
01-12-2000,-37.99333333
01-01-2001,-23.31
01-02-2001,-35.29333333
01-03-2001,5.84
01-04-2001,32.77333333
01-05-2001,45.87333333
01-06-2001,15.50666667
01-07-2001,-27.36
01-08-2001,-61.49333333
01-09-2001,-62.32666667
01-10-2001,-77.59333333
01-11-2001,-59.06
01-12-2001,-37.36
01-01-2002,-13.36
01-02-2002,-23.66
01-03-2002,24.64
01-04-2002,53.78166667
01-05-2002,34.29833333
01-06-2002,21.83166667
01-07-2002,-42.15
01-08-2002,-39.30166667
01-09-2002,-47.935
01-10-2002,-43.735
01-11-2002,-35.885
01-12-2002,-20.035
01-01-2003,-22.75166667
01-02-2003,12.465
01-03-2003,19.39833333
01-04-2003,55.015
01-05-2003,65.615
01-06-2003,79.33166667
01-07-2003,19.065
01-08-2003,-46.35166667
01-09-2003,-36.635
01-10-2003,-42.235
01-11-2003,-11.185
01-12-2003,-5.685
01-01-2004,17.015
01-02-2004,0.998333333
01-03-2004,19.99833333
01-04-2004,44.29833333
01-05-2004,38.115
01-06-2004,33.02
01-07-2004,-16.62428571
01-08-2004,-29.835
01-09-2004,-56.55166667
01-10-2004,-43.31833333
01-11-2004,-15.41833333
01-12-2004,7.148333333
01-01-2005,-2.201666667
01-02-2005,13.88166667
01-03-2005,36.53166667
01-04-2005,44.23166667
01-05-2005,81.89833333
01-06-2005,58.23166667
01-07-2005,12.48166667
01-08-2005,-5.2475
01-09-2005,-27.68
01-10-2005,-24.22
01-11-2005,-30.34333333
01-12-2005,-13.64333333
01-01-2006,6.056666667
01-02-2006,15.29
01-03-2006,22.75666667
01-04-2006,37.19
01-05-2006,57.35666667
01-06-2006,62.42333333
01-07-2006,6.09
01-08-2006,-24.44333333
01-09-2006,-53.84333333
01-10-2006,-14.86
01-11-2006,3.04
01-12-2006,14.25666667
01-01-2007,-2.543333333
01-02-2007,27.72333333
01-03-2007,33.99
01-04-2007,81.32333333
01-05-2007,74.15666667
01-06-2007,71.75666667
01-07-2007,-3.643333333
01-08-2007,-14.14333333
01-09-2007,-17.44333333
01-10-2007,-30.21
01-11-2007,-10.97666667
01-12-2007,18.365
01-01-2008,21.52333333
01-02-2008,-1.376666667
01-03-2008,46.09
01-04-2008,51.35666667
01-05-2008,85.52333333
01-06-2008,62.72333333
01-07-2008,3.846
01-08-2008,-23.336
01-09-2008,-9.381666667
01-10-2008,6.051666667
01-11-2008,17.285
01-12-2008,29.31833333
01-01-2009,46.91833333
01-02-2009,49.984
01-03-2009,77.20166667
01-04-2009,94.085
01-05-2009,103.0557143
01-06-2009,75.285
01-07-2009,26.35166667
01-08-2009,-20.64833333
01-09-2009,-19.865
01-10-2009,-8
01-11-2009,3.801666667
01-12-2009,18.76833333
01-01-2010,23.335
01-02-2010,53.76833333
01-03-2010,69.535
01-04-2010,83.185
01-05-2010,112.6683333
01-06-2010,89.85166667
01-07-2010,37.48428571
01-08-2010,-0.331666667
01-09-2010,-9.365
01-10-2010,-27.58166667
01-11-2010,2.018333333
01-12-2010,-8.485714286
01-01-2011,-8.698333333
01-02-2011,27.56833333
01-03-2011,61.70166667
01-04-2011,75.685
01-05-2011,100.1016667
01-06-2011,74.10166667
01-07-2011,24.135
01-08-2011,19.97
01-09-2011,7.085
01-10-2011,10.035
01-11-2011,29.15166667
01-12-2011,29.15166667
01-01-2012,40.57142857
01-02-2012,70.424
01-03-2012,53.6075
01-04-2012,93.11333333
01-05-2012,108.004
01-06-2012,80.45714286
01-07-2012,46.024
01-08-2012,18.25714286
01-09-2012,3.835
01-10-2012,9.327142857
01-11-2012,31.985
01-12-2012,51.41428571
01-01-2013,36.035
01-02-2013,72.81833333
01-03-2013,98.086
01-04-2013,111.926
01-05-2013,123.4683333
01-06-2013,75.304
01-07-2013,28.94666667
01-08-2013,-11.72
01-09-2013,-14.15333333
01-10-2013,-6.32
01-11-2013,29.58
01-12-2013,21.555
01-01-2014,34.94666667
01-02-2014,38.68
01-03-2014,69.455
01-04-2014,89.98
01-05-2014,114.9133333
01-06-2014,75.88
01-07-2014,28.68
01-08-2014,18.81333333
01-09-2014,11.81333333
01-10-2014,16.68
01-11-2014,23.61333333
01-12-2014,39.51333333
01-01-2015,41.08
01-02-2015,75.58
01-03-2015,93.04666667
01-04-2015,107.5466667
01-05-2015,122.28
01-06-2015,122.38
01-07-2015,57.11333333
01-08-2015,45.11333333
01-09-2015,44.34666667
01-10-2015,66.91333333
01-11-2015,64.48
01-12-2015,61.78
01-01-2016,81.21333333
01-02-2016,74.756
01-03-2016,112.375
01-04-2016,127.375
01-05-2016,144.9375
01-06-2016,118.675
01-07-2016,69.90833333
01-08-2016,29.74166667
01-09-2016,12.075
01-10-2016,11.194
01-11-2016,46.675
01-12-2016,43.44714286
01-01-2017,57.925
01-02-2017,66.25833333
01-03-2017,87.834
01-04-2017,104.5757143
01-05-2017,126.754
01-06-2017,87.33666667
01-07-2017,71.67
01-08-2017,20.77
01-09-2017,11.50333333
01-10-2017,11.27
01-11-2017,28.70333333
01-12-2017,7.336666667
01-01-2018,24.27
01-02-2018,46.93666667
01-03-2018,65.43666667
01-04-2018,91.57
01-05-2018,113.5366667
01-06-2018,83.70333333
01-07-2018,45.83666667
01-08-2018,-1.796666667
01-09-2018,-14.06333333
01-10-2018,20.47
01-11-2018,26.93666667
01-12-2018,48.37
01-01-2019,58.87
01-02-2019,54.20333333
01-03-2019,78.33666667
01-04-2019,109.4033333
01-05-2019,123.0033333
01-06-2019,111.37
01-07-2019,76.87
01-08-2019,70.50333333
01-09-2019,50.20333333
01-10-2019,83.00333333
01-11-2019,75.37
01-12-2019,73.195
01-01-2020,73.10333333
01-02-2020,91.00333333
01-03-2020,105.6033333
01-04-2020,157.6366667
01-05-2020,136.3366667
01-06-2020,152.9366667
01-07-2020,103.8033333
01-08-2020,81.10333333
01-09-2020,59.53666667
01-10-2020,46.80333333
01-11-2020,59.80333333
01-12-2020,59.73666667
01-01-2021,80.145
01-02-2021,96.42
01-03-2021,117.7033333
01-04-2021,145.695
01-05-2021,160.2366667
01-06-2021,116.5366667
01-07-2021,79.93666667
01-08-2021,57.97
01-09-2021,70.37
01-10-2021,37.23666667
01-11-2021,41.33666667
01-12-2021,79.27
01-01-2022,103.8366667
01-02-2022,107.5366667
01-03-2022,100.42
01-04-2022,131.6366667
01-05-2022,117.3366667
01-06-2022,119.3033333
01-07-2022,66.03666667
01-08-2022,29.295
01-09-2022,29.20333333
01-10-2022,19.80333333
01-11-2022,18.73
01-12-2022,53.2973
01-01-2023,76.554499
01-02-2023,93.237028
01-03-2023,29.116968
01-04-2023,142.830484
01-05-2023,111.273214
01-06-2023,86.990917
01-07-2023,93.010678
01-08-2023,107.207153
01-09-2023,123.577361
01-10-2023,144.425028
01-11-2023,175.604714
01-12-2023,208.553758
01-01-2024,173.021261
01-02-2024,121.226739
01-03-2024,73.314305
01-04-2024,59.516885
01-05-2024,68.529904
01-06-2024,79.291749
01-07-2024,92.889215
01-08-2024,108.461596
01-09-2024,127.348624
01-10-2024,151.904931
01-11-2024,180.024925
01-12-2024,197.99262
01-01-2025,281.550115
01-02-2025,152.792148
01-03-2025,163.28806
01-04-2025,178.121096
01-05-2025,137.727718
01-06-2025,129.847389
01-07-2025,139.048556
01-08-2025,134.812859
01-09-2025,123.452993
01-10-2025,114.563829
01-11-2025,120.288026
01-12-2025,134.432171
01-01-2026,102.327482
01-02-2026,106.017559
01-03-2026,109.225193
01-04-2026,116.492771
01-05-2026,123.33601
01-06-2026,127.477429
01-07-2026,129.265641
01-09-2026,129.569774
01-10-2026,127.270542
01-11-2026,121.119206
